Fund Name,Amount Raised $M USD,Date announced and or Raised,Year Raised,Fund Number,Location,Notes
513,Indie.vc,$30,5/31/2016,2016,II,Utah,http://www.wsj.com/articles/venture-capital-and-its-discontents-1464667261
514,State of Mind Ventures,$75,5/27/2016,2016,I,Israe,http://www.haaretz.com/israel-news/business/1.721164
515,Data Collective,$175,5/27/2016,2016,IV,Bay Area,
516,Backed,$60,5/25/2016,2016,I,UK,
517,WI Harper,$175,5/17/2016,2016,VIII,"Bay Area, China",
518,Refactor Capital,$50,5/10/2016,2016,I,Bay Area,https://www.crunchbase.com/organization/refactor-capital
519,Designer Fund,$20,5/3/2016,2016,I,Bay Area,http://techcrunch.com/2016/05/03/designer-fund-which-backs-startups-with-designers-on-their-founding-teams-has-raised-20-million/
520,Felicis Ventures,$200,4/21/2016,2016,V,Bay Area,http://techcrunch.com/2016/04/21/felicis-ventures-closes-on-200-million-roughly-double-its-last-fund/
521,Draper Associates,$190,4/11/2016,2016,I,Bay Area,
522,Altos Ventures Korea Fund,$110,3/24/2016,2016,II,"Bay Area, Korea",
523,Upside Partnership,$44,3/21/2016,2016,II,Bay Area,
524,Union Square Ventures,$175,3/18/2016,2016,IV,NYC,per SEC and Fortune 
525,Contour Venture Partners,$56,3/16/2016,2016,III,NYC,https://www.pehub.com/2016/03/new-york-based-contour-raises-81-mln-for-two-funds/
526,Mucker Capital,$45,3/9/2016,2016,III,Los Angeles,http://techcrunch.com/2016/03/09/mucker-capital-closes-on-45-million-for-an-early-stage-la-based-fund/
527,Tribeca Venture Partners,$117,2/26/2016,2016,II,NYC,http://tribecavp.com/announcing-tribeca-venture-partners-fund-ii/
528,TLV Partners,$115,2/24/2016,2016,I,Tel Aviv,
529,1955 Capital,$200,2/24/2016,2016,I,Bay Area,
530,Super Ventures,$10,2/15/2016,2016,I,Bay Area,VR focused fund
531,Courtside Ventures,$35,1/11/2016,2016,I,"NYC, Detroit",
532,Sierra Ventures,$170,1/4/2016,2016,XI,Bay Area,
533,White Star Capital,$70,11/1/2015,2015,I,"NYC, UK, Montreal",
534,Greycroft Partners,$200,11/1/2015,2015,IV,"NYC, LA",https://medium.com/@greycroftvc/ten-years-and-counting-51b7901b8a1c#.t0n04flef
535,Lerer Hippeau Ventures,$113,11/1/2015,2015,V,NYC,http://blogs.wsj.com/venturecapital/2015/11/19/lerer-hippeau-fund-v-hits-113m-as-new-york-tech-heats/
536,AH Bio Fund,$200,11/1/2015,2015,I,Bay Area,http://techcrunch.com/2015/11/18/andreessen-horowitz-gets-a-new-gp-and-a-new-fund/
537,Ameba Capital,$157,11/1/2015,2015,II,China,
538,Router Ventures,$1,11/1/2015,2015,I,"Omaha, Nebraska, USA",http://siliconprairienews.com/2015/11/router-ventures-has-raised-a-1-million-fund-so-far/
539,Brooklyn Bridge Ventures,$13,11/1/2015,2015,II,NYC,http://techcrunch.com/2015/11/15/brooklyn-bridge-ventures-approaches-15-million-target-for-second-fund/
540,Open Ocean,$100,11/1/2015,2015,I,Finland,http://techcrunch.com/2015/11/10/open-ocean-fund/
541,B-to-v Partners,$70,10/1/2015,2015,III,Germany,
542,Acton Capital Partners,$200,10/1/2015,2015,II,Germany,
543,Reach Capital,$53,10/1/2015,2015,I,Bay Area,
544,Progress Ventures,$20,10/1/2015,2015,III,"Boston, MA",
545,S2G Ventures,$125,10/1/2015,2015,I,Chicago,http://blogs.wsj.com/venturecapital/2015/10/20/new-food-and-agriculture-fund-s2g-ventures-launches-with-125-million/
546,Cloud Apps Capital Partners,$54,9/1/2015,2015,I,Bay Area,
547,TenOneTen,$18,9/1/2015,2015,I,Los Angeles,http://blogs.wsj.com/venturecapital/2014/08/29/tenoneten-founders-go-from-creating-startups-to-investing-in-them/
548,Draper Associates,$50,9/1/2015,2015,V,Bay Area,SEC
549,Amplify Partners,$150,9/1/2015,2015,II,Bay Area,
550,500 Startups,$85,9/1/2015,2015,III,Bay Area,http://blogs.wsj.com/venturecapital/2015/09/04/after-bumpy-road-500-startups-closes-fund-iii-with-85m/
551,IDG Ventures,$120,9/1/2015,2015,III,Bay Area,http://techcrunch.com/2015/08/31/idg-ventures-closes-on-120-million-for-its-third-fund/
552,BoldStart Ventures,$20,7/1/2015,2015,III,NYC,http://blogs.wsj.com/venturecapital/2015/07/24/boldstart-nails-20m-toward-new-seed-fund-as-new-york-enterprise-software-sector-matures/
553,Constanoa Venture Capital,$135,7/1/2015,2015,II,Bay Area,
554,CrossCut Ventures,$75,6/1/2015,2015,III,Los Angeles,http://fortune.com/2015/06/23/la-venture-firm-crosscut-raises-75-million-for-third-fund/?xid=soc_socialflow_facebook_FORTUNE
555,Intel Capital Diversity Fund,$125,6/1/2015,2015,I,Bay Area,http://blogs.wsj.com/venturecapital/2015/06/09/intel-capital-creates-125m-fund-for-women-minority-led-startups/
556,Passion Capital,$69,5/2015,2015,II,UK,http://techcrunch.com/2015/05/28/passion-capital-fund-2/
557,Collaborative Fund,$65,5/2015,2015,III,NYC,http://pevc.dowjones.com/Article?an=DJFVW00120150512eb5crmorn&ReturnUrl=http%3a%2f%2fpevc.dowjones.com%2fArticle%3fan%3dDJFVW00120150512eb5crmorn
558,Obvious Ventures,$123,5/2015,2015,I,Bay Area,http://venturebeat.com/2015/05/21/ev-williams-obvious-ventures-closes-123456789-round/
559,Valar,$1,5/21/2015,2015,II,NYC,
560,Formation 8 hardware fund,$100,5/2015,2015,I,Bay Area,
561,Twilio Fund,$50,5/2015,2015,I,Bay Area,http://recode.net/2015/05/20/twilio-launches-50-million-development-fund/
562,Aspect Ventures,$150,5/2015,2015,I,Bay Area,http://aspectventures.com/aspect-ventures-raises-150-million-for-first-fund/
563,Storm Ventures,$180,5/2015,2015,V,Bay Area,http://techcrunch.com/2015/05/08/storm-ventures-locks-down-180m-for-its-new-fund/
564,Slow,$65,4/2015,2015,IV,Bay Area,https://medium.com/@slow/announcing-slow-4-c70cf1b85ba6
565,Illuminate,$30,4/2015,2015,II,Bay Area,raising Fund II per SEC filing
566,Playground Global,$48,4/2015,2015,I,Bay Area,hardware accelerator - http://fortune.com/2015/04/06/ex-google-exec-andy-rubin-raises-48-million-for-hardware-incubator/
567,HWVP,$105,4/2015,2015,VII,Bay Area,http://www.strictlyvc.com/2015/04/06/hummer-winblad-reboots/
568,Freestyle,$60,4/2015,2015,III,Bay Area,http://techcrunch.com/2015/04/02/freestyle-capital-locks-down-60m-for-its-third-fund-adds-jenny-lefcourt-as-its-third-partner/
569,Structure Capital,$50,3/2015,2015,II,Bay Area,"raised $50M, not closed"
570,Ignition Partners,$200,3/2015,2015,VII,Seattle,"raising up to $200M, not clear if has closed yet"
571,Zetta Venture Partners,$60,3/2015,2015,I,Bay Area,
572,Engineering Capital,$32,2/2015,2015,I ,Bay Area,http://blogs.wsj.com/venturecapital/2015/02/24/venture-firm-engineering-capital-emerges-with-32-million-fund/
573,Notation Capital,$8,2/2015,2015,I ,NYC,
574,Homebrew Ventures,$50,2/2015,2015,II,Bay Area,
575,Homebrew Ventures,$35,2/2015,2015,Opp Fund,Bay Area,"opportunity fund, doing pro-rata in existing portfolio companies"
576,Aligned Partners,$50,2/2015,2015,II,Bay Area,
577,Crosslink Capital,$170,2/2015,2015,VII,Bay Area,http://venturebeat.com/2015/02/05/crosslink-closes-new-seed-stage-fund-with-170m-in-capital/
578,83North,$200,1/2015,2015,I,"Israel, UK",ex Greylock Israel team
579,Cendana Co-Investment Fund,$40,1/2015,2015,I,Bay Area,https://www.pehub.com/2015/01/august-aspect-blumberg-to-raise-money-cendana-get-another-40-mln/
580,Tullis Growth Fund,$21.4,1/2015,2015,I,Florida,https://www.pehub.com/2015/01/august-aspect-blumberg-to-raise-money-cendana-get-another-40-mln/
581,Kickstart Fund,$39,1/2015,2015,III,Utah,http://tech.co/kickstart-seed-fund-iii-2015-01
582,Techstars Ventures,$150,1/2015,2015,III,"Boulder, Colorado",
583,Sofia Fund,$4,1/2015,2015,II,"Minnesota, USA",http://strib.mn/1y5HFi9
584,ENIAC Ventures,$55,1/2015,2015,III,NYC,http://techcrunch.com/2015/01/22/eniac-ventures-third-fund/
585,Laconia,$5,1/2015,2015,I,NYC,
586,Tandem,$100,1/2015,2015,III,Bay Area,http://tandemcap.com/2015/01/15/tandem-completes-new-100-million-investment-fund/
587,V1.vc,$5,1/1/2018,2018,I,"Boulder, Colorado",
588,Zelkova Ventures,$13,1/1/2015,2015,II,NYC,
589,Moneta Ventures,$25,2/19/2015,2015,I,"Sacramento, CA, US",https://www.pehub.com/2015/02/moneta-ventures-fund-i-raises-25-mln/
590,Apertue Venture Partners,$50,1/2015,2015,III,NYC,
591,Data Collective,$125,12/2014,2014,I,Bay Area,Opportunity Fund
592,Cowboy Ventures,$57,12/2014,2014,II,Bay Area,http://blogs.wsj.com/venturecapital/2014/12/29/kleiner-perkins-veteran-has-the-reins-at-seed-firm-cowboy-ventures/
593,First Round Capital,$175,6/2014,2014,V,"Bay Area, NYC, Philly",http://blogs.wsj.com/venturecapital/2014/06/26/first-round-capital-gathers-175m-for-fifth-fund/?mod=WSJBlog
594,Jaquar Ventures,$10.0,12/1/2014,2014,I,"Mexico City, Buenos Aires ",
595,Primary Venture Partners,$30.0,4/2014,2014,I,NYC,1st close - $60M target - http://pevc.dowjones.com/article?an=DJFVW00120141217eachqux8m&from=alert&pid=22&ReturnUrl=http%3a%2f%2fpevc.dowjones.com%2farticle%3fan%3dDJFVW00120141217eachqux8m%26from%3dalert%26pid%3d22
596,xFund,$100,12/2014,2014,II,"Boston, Bay Area",http://techcrunch.com/2014/12/04/harvard-based-xfund-closes-a-100m-second-fund/
597,Cendana Capital,$50,12/2014,2014,II,Bay Area,Fund of Funds
598,Golden Ventures Partners,$40,11/2014,2014,II,"Toronto, Canada",https://medium.com/@mattgoldenvp/golden-venture-partners-ii-d81c3cd0db60
599,Unshackled,$3.5,11/2014,2014,I,Bay Area,http://blogs.wsj.com/venturecapital/2014/11/13/unshackled-a-new-angel-fund-forms-to-back-immigrant-entrepreneurs/?mg=blogs-wsj&url=http%253A%252F%252Fblogs.wsj.com%252Fventurecapital%252F2014%252F11%252F13%252Funshackled-a-new-angel-fund-forms-to-back-immigrant-entrepreneurs
600,Female Founders Fund (FCubed),$5,11/2014,2014,I,NYC,
601,Two Sigma Ventures,$150,11/18/2014,2014,II,NYC,
602,Indicator Ventues,$16,11/12/2014,2014,I,"Boston, NYC, Bay Area",
603,Common Angels,$27,10/2014,2014,IV,Boston,http://www.xconomy.com/boston/2014/10/14/commonangels-ventures-closes-26-5m-fund-in-shifting-vc-landscape/
604,Ludlow Ventures,$15,10/2014,2014,I,Detroit,
605,Akkadian Ventures,$75,10/2014,2014,III,Bay Area,
606,Peak Ventures,$23,10/2014,2014,I,Utah,http://venturebeat.com/2014/09/08/peak-ventures-launches-23-million-venture-capital-fund-for-tech-startups/
607,Founder Circle,$195,10/2014,2014,I,Bay Area,
608,Version One Ventures,$35,10/2014,2014,II,"Vancover, Canada",
609,Carmel Ventures,$194,10/2014,2014,IV,Israel,
610,OS Fund,$100,10/2014,2014,I,DC,
611,Shenzhen Co-Win Venture Capital,$75,10/2014,2014,I,China,
612,Causeway Media Partners,$125.6,10/2014,2014,I,Boston,
613,Forbion Capital Partners,$116,10/2014,2014,,Netherlands,
614,Industry Ventures,$170,9/2014,2014,,Bay Area,
615,Magma,$150,9/2014,2014,IV,Israel,http://blogs.wsj.com/digits/2014/09/29/israeli-vc-firm-behind-apps-sold-to-google-facebook-raises-150-mln-fund/
616,Craftsman Capital Partners,$40,9/2014,2014,I,"Dallas, Texas",
617,Draper Nexus,$29.3,9/2014,2014,II,"Tokyo, Bay Area",
618,Mosaic Ventures,$140,9/2014,2014,I,London,http://www.mosaicventures.com/
619,Aglaia Oncology Fund,$65,9/2014,2014,II,Netherlands,
620,Nova Founders Capital,$50,9/2014,2014,I,Hong Kong,
621,Altos Ventures,$60,9/2014,2014,I,"Bay Area, Korea",http://fortune.com/2014/09/18/exclusive-silicon-valley-vc-firm-bets-big-on-korea/
622,Frontline Ventures ,$50,9/2014,2014,I,Ireland , http://www.frontline.vc/blog/frontline-raises-e40m-maiden-fund/
623,DN Capital,$200,9/2014,2014,III,London and Bay Area,http://techcrunch.com/2014/09/02/dn-capital-raises-200m-for-3rd-european-fund-as-euro-tech-resurges/
624,Ribbit Capital,$125,8/2014,2014,II,Bay Area,http://www.sec.gov/Archives/edgar/data/1603636/000160363614000002/xslFormDX01/primary_doc.xml
625,Felicis Ventures,$94,7/2014,2014,IV,Bay Area,http://venturebeat.com/2014/08/05/felicis-ventures-closes-new-96m-fund-vows-to-always-vote-with-founders-in-board-decisions/
626,Binary,$125,7/2014,2014,I,Bay Area,http://dealbook.nytimes.com/2014/07/28/new-venture-fund-binary-capital-focuses-on-mission-not-just-metrics/?_php=true&_type=blogs&_r=0
627,Line (JV with Collaborative Fund),$10,7/2014,2014,I,NYC,JV with Collaborative Fund - http://dealbook.nytimes.com/2014/07/18/line-of-japan-teams-with-new-york-venture-fund-to-make-investments/?_php=true&_type=blogs&_r=0
628,Sherpa,$154,7/2014,2014,I,Bay Area,http://www.forbes.com/sites/alexkonrad/2014/07/17/sherpa-ventures-closes-fund-to-find-next-uber/
629,NextView Ventures,$40,7/2014,2014,II,"Boston, NYC",http://robgo.org/2014/07/17/announcing-nextview-ventures-ii/
630,Seedcamp,$28,7/2014,2014,III,London,http://techcrunch.com/2014/07/15/seedcamps-3rd-fund-hits-first-close-of-28m-to-scale-startups-globally/
631,Santander,$100,7/2014,2014,I,London,http://startups.co.uk/santander-to-launch-100m-fintech-fund/
632,Upside Partnership,$30,7/2014,2014,I,Bay Area,http://techcrunch.com/2014/07/10/kent-goldman-upside-partnership/
633,137 Ventures ,$137,7/2014,2014,II,Bay Area,http://techcrunch.com/2014/07/09/137-ventures-fund-ii/
634,Procyon Ventures,$10,7/1/2014,2014,I,Boston,
635,Susa Ventures,$25,6/2014,2014,I,"Los Angeles, Bay Area, NYC",http://techcrunch.com/2014/06/30/susa-ventures-fund/
636,SoftTechVC,$85,6/2014,2014,IV,Bay Area,http://www.prweb.com/releases/SoftTechvc/FundIV/prweb11978828.htm
637,Danhua Capital,$91.2,6/2014,2014,I,Bay Area,http://venturebeat.com/2014/06/17/sec-form-reveals-a-new-stanford-vc-fund-is-raising-91-2m/
638,Lerer Hippeau Ventures,$62,6/2014,2014,IV,NYC,http://www.pehub.com/2014/06/digital-media-focused-lerer-closing-in-on-fund-iv-vcj
639,Greycroft Growth,$200,6/2014,2014,I,NYC,http://www.pehub.com/2014/06/greycroft-grabs-200-mln-for-growth-fund/
640,Bull City Venture Partners,$26,6/2014,2014,I,"Durham, North Carolina",http://www.thestate.com/2014/06/16/3511172/durham-venture-capital-firm-raises.html
641,Romulus Capital,$50,6/2014,2014,I,Boston,http://bostinno.streetwise.co/2014/06/04/romulus-capital-fund-26-year-old-mit-alum-raises-50-million-for-his-own-venture-firm/
642,Lowercase,$40,6/2014,2014,III,Los Angeles,http://techcrunch.com/2014/06/10/lowercase-capital-is-raising-a-new-25m-fund/
643,Valar,$32,5/22/2014,2014,I,NYC,
644,BlueRun Ventures,$140,5/30/2014,2014,V,Bay Area,
645,Lightstone Ventures,$172,5/2014,2014,I,Bay Area,http://www.xconomy.com/boston/2014/05/01/lightstone-closes-172m-fund-for-early-stage-biotechs/
646,Merus Capital,$43,4/2014,2014,II,Bay Area,http://blogs.wsj.com/venturecapital/2014/04/23/merus-capital-closes-second-fund-raises-special-fund-to-back-adroll/?mod=WSJBlog
647,Fuel Capital,$25.3,4/2014,2014,I,Bay Area,per SEC filing
648,MHS Capital,$75,4/2014,2014,II,Bay Area,http://finance.fortune.cnn.com/2014/04/16/exclusive-mhs-capital-almost-done-raising-new-fund/
649,Crystal Tech Fund,$50,4/2014,2014,I,Washington D.C.,http://www.washingtonpost.com/business/on-small-business/500-startups-singh-launches-venture-fund-in-crystal-city-targets-post-seed-firms/2014/04/09/a3787e00-c010-11e3-b574-f8748871856a_story.html
650,Real Ventures,$50,4/2014,2014,III,"Montreal, Canada",targeting $100M http://www.techvibes.com/blog/real-ventures-closes-50-million-of-newest-fund-2014-04-14
651,Pejman Mar Ventures,$40,4/2014,2014,I,Bay Area,http://tech.fortune.cnn.com/2014/04/03/veteran-angel-raises-new-40-million-venture-fund/
652,Rise Capital,$100,4/2014,2014,I,Bay Area,http://blogs.wsj.com/venturecapital/2014/03/31/rise-capital-raising-100m-maiden-fund-for-startups-in-emerging-markets/
653,Alsop Louie,$100,4/2014,2014,III,Bay Area,http://www.sec.gov/Archives/edgar/data/1584654/000158465414000001/xslFormDX01/primary_doc.xml
654,Expa,$50,3/2014,2014,I,Bay Area,http://techcrunch.com/2014/03/14/expa-50-million/
655,Metamorphic Ventures,$70,3/2014 ,2014,II ,NYC,http://www.metamorphic.vc/metamorphic-ventures-closes-second-fund-just-shy-of-70-million/
656,Data Collective,$125,3/2014,2014,III,Bay Area,http://techcrunch.com/2014/03/31/with-a-focus-on-big-data-startups-data-collective-redefines-thematic-investing-and-debuts-its-third-fund/?fb_action_ids=10152365944314810&fb_action_types=og.likes
657,Lemnos Labs,$20,3/2014,2014,I,Bay Area,http://techcrunch.com/2014/03/26/lemnos-labs-20m/
658,Maiden Lane,$20,3/2014,2014,I,Bay Area,http://finance.fortune.cnn.com/2014/03/13/maiden-lane-angellist-syndicates/
659,BoldStart Ventures,$16.9,3/2014,2014,II,NYC,per SEC filing
660,Alpha Ventures Partnes,$10,3/2014,2014,I,NYC,"$10M first close, $20M target"
661,Deep Fork Capital,$30,2/2014,2014,II,"Bay Area, NYC",http://www.sec.gov/Archives/edgar/data/1600651/000160065014000001/xslFormDX01/primary_doc.xml
662,MuckerLab,$20,2/2014,2014,I,Los Angeles,http://techcrunch.com/2014/02/13/muckerlab-launches-new-20-million-seed-fund/?ncid=twittersocialshare
663,Vayner/RSE,$25,2/2014,2014,I,NYC, http://recode.net/2014/02/12/gary-vaynerchuk-launches-new-25-million-seed-fund/
664,Collaborative Fund,$33,2/2014,2014,II,"NYC, Bay Area",http://techcrunch.com/2014/02/26/collaborative-fund-33m-jay-kim/
665,Capital Partners,$51,2/2014,2014,I,Bay Area,"sole GP, Ronny Conway (son of Ron Conway) - http://techcrunch.com/2014/02/14/ronny-conway-closes-his-over-51-million-early-stage-fund/"
666,Kaszek Ventures,$135,2/2014,2014,II,Argentina and Brazil,http://dealbook.nytimes.com/2014/02/07/latin-america-venture-capital-fund-raises-new-135-million-fund/?_php=true&_type=blogs&smid=tw-dealbook&seid=auto&_r=0
667,IDG,$65,2/2014,2014,III,Bay Area,http://www.vcpost.com/articles/21791/20140221/san-franciscos-idg-ventures-raising-100m-for-third-fund.htm
668,Arthur Ventures,$65.0,1/1/2014,2014,II,US (Minneapolis and North Dakota), 
669,Brooklyn Bridge Ventures,$8.3,1/2014,2014,I,NYC, 
670,ff VC,$52,1/2014,2014,III,NYC,
671,Inventus Capital Partners,$106,1/2014,2014,II,"India, US",
672,Resolute Ventures,$50,1/1/2014,2014,II,"Boston, Bay Area",
673,Stage One Venture Capital,$65,1/2/2014,2014,II,Israel,
674,Union Square Ventures,$200,1/2014,2014,IV,NYC,unconfirmed - per Fortune article
675,Union Square Ventures Opportunity,$150,1/2014,2014,II,NYC,unconfirmed - per Fortune article
676,ENIAC Ventures,$12.9,9/2013,2013,II,NYC,
677,Javelin Venture Partners,$125,11/2013,2013,III,Bay Area,"investrs across the country, strong ties to NY and Boston"
678,Amplify.LA,$8.1,11/2013,2013,II,Los Angeles,
679,Freestyle,$40,9/2013,2013,II,Bay Area,
680,Noro-Moseley Partners,$47,9/2013,2013,VII,Virginia,
681,Canvas Fund,$175,9/2013,2013,I,Bay Area,was previously Morgenthaler Ventures
682,Revolution Ventures,$200,9/2013,2013,I,Washington D.C.,
683,Haywire, ,9/2013,2013,I,Bay Area,per blog post by Semil Shah - http://blog.semilshah.com/2013/09/07/making-an-addition-to-my-twitter-bio-investor/
684,Initialized Capital,$39,8/2013,2013,II,Bay Area,per SEC filing
685,YL Ventures,$27.5,7/2013,2013,II,Israel,
686,Homebrew Ventures,$35,7/2013,2013,I,Bay Area,http://finance.fortune.cnn.com/2013/07/02/exclusive-homebrew-closes-debut-fund/
687,Wing Venture Partners,$111,7/2013,2013,I,Bay Area,
688,Earlybird Ventures,$200,7/2013,2013,IV,Germany,
689,Scout Ventures,$4.3,6/2013,2013,I,NYC,http://pando.com/2014/05/21/liveoak-venture-partners-raises-a-109m-fund-deepens-austins-early-stage-capital-pool/
690,Chicago Ventures,$40,6/2013,2013,II,Chicago,
691,Bloomberg Beta,$75,6/2013,2013,I,Bay Area and NYC,
692,Causeway Media Partners,$80,6/2013,2013,I,Boston,sports media realted investments
693,Aleph,$120,6/2013,2013,I,Israel,
694,Upfront,$200,6/2013,2013,IV,LA,fka GRP
695,Red Sea Ventures,$30,5/2013,2013,I,NYC,http://www.redseaventurepartners.com/
696,InverSur Capital,$30,5/2013,2013,I,Chile,
697,Bowery Capital,$33,5/2013,2013,I,NYC,
698,Pelion Venture Partners,$194,5/2013,2013,V,Salt Lake City,
699,EIS Angel Co-Investment,$7.5,4/2013,2013,II,London,affliated with DFJ Esprit
700,BoldStart Ventures,$20,4/2013,2013,I,NYC,
701,Blackbird Ventures,$25,4/2013,2013,I,Australia,Targeting $30M
702,Kickstart Seed Fund,$26,4/2013,2013,II,Utah,focusing on early stage investments in Utah
703,Karlani Capital,$30,3/2013,2013,I,NYC,data provided by the firm
704,Westly Group,$160,3/2013,2013,II,Bay Area,http://gigaom.com/2013/03/19/westly-group-raises-a-160m-gasp-cleantech-fund/
705,Velos Capital,$15,3/2013,2013,I,Los Angeles,"according to Fortune, they are having a 1st close soon"
706,Point Nine Capital,$54,2/2013,2013,II,"Berlin, Germany",http://thenextweb.com/insider/2013/02/13/germanys-point-nine-capital-raises-a-new-54m-early-stage-fund/
707,Work-Bench Ventures,$10,12/2013,2013,I,NYC,http://pando.com/2013/12/03/work-bench-announces-10-million-fund-to-back-enterprise-startups/
708,WindSail Capital,$20.4,12/2013,2013,I,Boston,clean energy focus
709,Hoxton Ventures,$40,12/2013,2013,I,London,http://thenextweb.com/insider/2013/12/04/londons-hoxton-ventures-raises-40m-fund-early-stage-european-startups/
710,Forerunner Ventures,$55.5,12/2013,2013,II,Bay Area,
711,Illuminate,$20,11/2013,2013,I,Bay Area,http://launch.co/story/women-led-vc-firm-illuminatevc-raises-20m-fund-to-invest-in-early
712,PivotNorth Capital,$35,11/2013,2013,II,Bay Area,
713,LionBird,$20,10/2013,2013,I,Tel Aviv,
714,500 Startups,$44,10/2013,2013,II,Bay Area HQ,
715,Ludlow Ventures,$15,1/2013,2013,I,Detroit,"Targeting $15M, not clear how much they have raised so far"
716,Amplify Partners,$40,1/2013,2013,I,"Cambridge, MA","Looks like the target is $40M, unclear how much they have raised to date"
717,Ribbit Capital,$100,1/2013,2013,I,Palo Alto,focused on financial service sector
718,LiveOak Ventures Partners,$109,1/2013,2013,I,"Austin, Texas",
719,Raptor Ventures,$32,9/2012,2012,I,NYC,"First close, targeting $75M"
720,Tribeca Venture Partners,$64,9/2012,2012,I,NYC,"First close, targeting $100M"
721,Founder Collective,$70,9/2012,2012,II,"Cambridge, NYC",
722,Thrive,$150,9/2012,2012,III,NYC,
723,Data Collective,$10,8/2012,2012,I,Bay Area,per GigaOm article
724,SV Angel,$40,8/2012,2012,IV,Bay Area,
725,Kibo Ventures,$60,8/2012,2012,I,"Madrid, Spain",
726,Bee Partners,$5,7/2012,2012,I,Bay Area,
727,Version One Ventures,$15,7/2012,2012,I,"Vancover, Canada",
728,Dundee Venture Capital,$15,7/2012,2012,II,"Omaha, Nebraska, USA",
729,Cowboy Ventures,$36,7/2012,2012,I,Bay Area,Targeting $40M
730,K9 Ventures,$40,7/2012,2012,II,Bay Area,
731,Forerunner Ventures,$40,7/2012,2012,I,Bay Area,
732,Floodgate,$75,7/2012,2012,IV,Bay Area,
733,Mercato Partners,$115,7/2012,2012,II,Salt Lake City,
734,Bullpen,$25,6/2012,2012,III,Bay Area,Targeting $35M
735,Felicis Ventures,$70,6/2012,2012,III,Bay Area,
736,Merus Capital,$20,5/2012,2012,II,Bay Area,Targeting $100M
737,Connect Ventures,$21,5/2012,2012,I,London,"First close, targeting $57M"
738,Vegas Tech Fund,$50,5/2012,2012,I,"Las Vegas, Nevada",
739,First Round Capital,$135,5/2012,2012,IV,"Bay Area, NYC, Philly",
740,PowerFund,$28,4/2012,2012,II,"Boulder, Colorado",David Cohen's Fund (of Techstars)
741,Okapi Ventures,$20,3/2012,2012,II,Los Angeles,
742,Core Innovation Capital,$45,3/2012,2012,I,NYC,
743,Learn Capital,$50,3/2012,2012,I,Bay Area,
744,Emergent Medical Partners,$55,3/2012,2012,I,Bay Area,life science fund
745,BBVA Ventures,$100,3/2012,2012,I,"Madrin, Spain and San Francisco",fintech focused - venture are of BBVA a global bank
746,Relay Ventures,$150,3/2012,2012,VIII,Bay Area and Toronto,
747,OpenView,$200,3/2012,2012,III,Boston,Growth stage fund
748,Initialized Capital,$7,2/2012,2012,I,Bay Area,
749,NextView Ventures,$21,2/2012,2012,I,"Boston, NYC",
750,IA Ventures,$105,2/2012,2012,III,NYC,
751,Nya Ventures,$4.5,12/2012,2012,I,"Seattle, USA / India","First close, targeting $50M"
752,MentorTech Ventures,$24,12/2012,2012,III,"Philadelphia, PA, USA",
753,Costanoa Venture Capital,$100,12/2012,2012,I,Bay Area,
754,iNovia Capital,$110,12/2012,2012,III,"Montreal, Canada",
755,.406 Ventures,$175,12/2012,2012,II,Boston,
756,OATV,$85,11/2012,2012,III,"Bay Area, Utah",
757,Greycroft,$175,11/2012,2012,III,"NYC, LA",
758,MESA+,$10,10/2012,2012,I,NYC,
759,Lerer Ventures,$35,10/2012,2012,III,NYC,
760,SoftTechVC,$55,1/2012,2012,III,Bay Area,
761,Correlation Ventures,$165,1/2012,2012,I,"San Diego, CA",
762,I2A,$12,03/2012,2012,I,Chicago,Targeting $40M
763,Crunchfund,$20,9/2011,2011,I,Bay Area,
764,Freestyle,$27,9/2011,2011,I,Bay Area,
765,Union Square Ventures,$200,9/2011,2011,III,NYC,
766,Golden Ventures Partners,$15,6/2011,2011,I,"Toronto, Canada",
767,PivotNorth Capital,$35,4/2011,2011,I,Bay Area,
768,Passion Capital,$60,4/2011,2011,I,London,
769,Founders Co-Op,$7.5,12/2011,2011,II,"Seattle, USA",
770,212 Ventures,$30,12/2011,2011,I,"Istanbul, Turkey",
771,ff VC,$27,11/2011,2011,III,NYC,
772,500 Startups,$29,11/2011,2011,I,"Bay Area, NYC, Mexico, Brazil, India",
773,Resolute Ventures,$25,1/1/2011,2011,I,"Boston, Bay Area",
774,Sierra Ventures,$200,1/2011,2011,X,Bay Area,
